Achievements/AC01_DESC: 击败默哀守望者
QuestItem/QI35_CAPTION: 血污石南
QuestItem/QI35_DESCRIPTION: 迪欧加卡斯的小礼物，被钉在你的剑格下面扭曲者的像上。这些荆棘是奇迹用罪恶养成，携带者的罪过都由这荆棘来背负 
QuestItem/QI35_LORE: 迪欧加卡斯的辞别书@@「阿伯特兄弟，你知道的，我还是个小孩子的时候就在这座修道院当书记员。我写了许多关于我们的修道院、圣徒还有痛极奇迹的事情。我必须告诉你，虽然我仍要继续写下去，我已下定决心离去。在高墙之内，我无法见证奇迹的真正杰作。我有幸能亲眼见证你神圣的作品，无论晴天还是下雨，纵使赤脚踏上热砂，我都要向世人传颂奇迹」
QuestItem/QI37_CAPTION: 橄榄种子
QuestItem/QI37_DESCRIPTION: 一把精心保存的种子。橄榄磨成的油膏是每个医师都必不可少的药品
QuestItem/QI37_LORE: 『蒂尔索忏悔录·第四』@@@@一天夜里，年轻的男子浑身发热，颤动不已，他身上的伤口烂得越来越严重，可谓痛苦万分，我看他难受，于是靠近他，将他搂在怀里，不禁流着泪亲吻他的额头。我用嘴唇感受着他额头的温度，发现年轻人睁开了双眼看着我，似乎一瞬之间他的痛苦全部消失了」
QuestItem/QI38_CAPTION: 磨难圣痕
QuestItem/QI38_DESCRIPTION: 黄金面容留下的痕迹，可以显示忏悔者灵魂之中磨难的圣洁
QuestItem/QI38_LORE: 圣者诗训·第一@@「圣王苦修赎罪，其灵魂苦痛必经三途。三种途径每种都是各有初衷，每一种又都痛苦万分。因此三种痛苦是他无尽痛楚的关键所在，必须严加看守」
QuestItem/QI39_CAPTION: 悔悟圣痕
QuestItem/QI39_DESCRIPTION: 黄金面容留下的痕迹，可以显示忏悔者灵魂之中悔悟的圣洁
QuestItem/QI39_LORE: 圣者诗训·第二@@「奇迹用纯洁圣徒的热情创造了黄金面容，将其永封于大梦境之中。三名守卫面容相仿，面敷炽金，守护着圣王灵魂的三处圣痕」
QuestItem/QI40_CAPTION: 内疚圣痕
QuestItem/QI40_DESCRIPTION: 黄金面容留下的痕迹，可以显示忏悔者灵魂之中内疚的圣洁
QuestItem/QI40_LORE: 『圣者诗训·第三』@@@@「如果三处圣痕合而为一，神母会的大门就会打开。神母会将分崩离析，禁域不再完整，圣地也将遭受亵渎」
QuestItem/QI41_CAPTION: 空圣水瓶
QuestItem/QI41_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI41_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI44_CAPTION: 念珠绳结
QuestItem/QI44_DESCRIPTION: 古代修士身亡后，他们的法衣做成了绳结
QuestItem/QI44_LORE: 她的名字是恩歌拉夏，她能做出全古斯托迪亚最华美的念珠串。教区著名的祭司与主教们常常光顾她的工坊，甚至神书圣座埃斯科利巴本人都从她那里订货。恩歌拉夏的手艺十分精湛，做的念珠串可谓精美绝伦，完美无瑕。坊间传言，只有她做的念珠才会得到神灵的赐福，用她的念珠吟诵祷文神灵才会听到，除此之外，用其余的念珠皆是罪过。因此，神母教会禁止人们使用其他念珠，之后其他所谓的违法念珠都被查抄焚毁。持有违法念珠的人会遭受惩罚，甚至会被判为异教徒。后来恩歌拉夏不在人世了，我们真不知道之后念珠会是什么情况
QuestItem/QI45_CAPTION: 空圣水瓶
QuestItem/QI45_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI45_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI46_CAPTION: 空圣水瓶
QuestItem/QI46_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI46_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI47_CAPTION: 空圣水瓶
QuestItem/QI47_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI47_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI48_CAPTION: 空圣水瓶
QuestItem/QI48_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI48_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI49_CAPTION: 空圣水瓶
QuestItem/QI49_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI49_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI50_CAPTION: 空圣水瓶
QuestItem/QI50_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI50_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI51_CAPTION: 空圣水瓶
QuestItem/QI51_DESCRIPTION: 用水晶与黄金制成的瓶子，可以用来装哀恸喷泉之中的圣水
QuestItem/QI51_LORE: 「快起来，告诉我们你看到了什么，」书记员目不转睛地盯着纸稿说道。「我奉命来挖尸体，有个忏悔者差不多一年前给埋了，」掘墓人答道。「他在阿尔贝罗可是人人敬爱，许多教区居民都凑到他坟墓跟前去。但是当我把他挖出来时，他的石棺裂缝里涌出了鲜血，红得就像红酒一样。在场的人跑过去掀开棺盖，用肩扛着他，任凭鲜血涌出。其他人跑回家中，找水桶和水瓶，去接那不断涌出的鲜血」
QuestItem/QI52_CAPTION: 念珠绳结
QuestItem/QI52_DESCRIPTION: 古代修士身亡后，他们的法衣做成了绳结
QuestItem/QI52_LORE: 她的名字是恩歌拉夏，她能做出全古斯托迪亚最华美的念珠串。教区著名的祭司与主教们常常光顾她的工坊，甚至神书圣座埃斯科利巴本人都从她那里订货。恩歌拉夏的手艺十分精湛，做的念珠串可谓精美绝伦，完美无瑕。坊间传言，只有她做的念珠才会得到神灵的赐福，用她的念珠吟诵祷文神灵才会听到，除此之外，用其余的念珠皆是罪过。因此，神母教会禁止人们使用其他念珠，之后其他所谓的违法念珠都被查抄焚毁。持有违法念珠的人会遭受惩罚，甚至会被判为异教徒。后来恩歌拉夏不在人世了，我们真不知道之后念珠会是什么情况
QuestItem/QI53_CAPTION: 念珠绳结
QuestItem/QI53_DESCRIPTION: 古代修士身亡后，他们的法衣做成了绳结
QuestItem/QI53_LORE: 她的名字是恩歌拉夏，她能做出全古斯托迪亚最华美的念珠串。教区著名的祭司与主教们常常光顾她的工坊，甚至神书圣座埃斯科利巴本人都从她那里订货。恩歌拉夏的手艺十分精湛，做的念珠串可谓精美绝伦，完美无瑕。坊间传言，只有她做的念珠才会得到神灵的赐福，用她的念珠吟诵祷文神灵才会听到，除此之外，用其余的念珠皆是罪过。因此，神母教会禁止人们使用其他念珠，之后其他所谓的违法念珠都被查抄焚毁。持有违法念珠的人会遭受惩罚，甚至会被判为异教徒。后来恩歌拉夏不在人世了，我们真不知道之后念珠会是什么情况
QuestItem/QI54_CAPTION: 念珠绳结
QuestItem/QI54_DESCRIPTION: 古代修士身亡后，他们的法衣做成了绳结
QuestItem/QI54_LORE: 她的名字是恩歌拉夏，她能做出全古斯托迪亚最华美的念珠串。教区著名的祭司与主教们常常光顾她的工坊，甚至神书圣座埃斯科利巴本人都从她那里订货。恩歌拉夏的手艺十分精湛，做的念珠串可谓精美绝伦，完美无瑕。坊间传言，只有她做的念珠才会得到神灵的赐福，用她的念珠吟诵祷文神灵才会听到，除此之外，用其余的念珠皆是罪过。因此，神母教会禁止人们使用其他念珠，之后其他所谓的违法念珠都被查抄焚毁。持有违法念珠的人会遭受惩罚，甚至会被判为异教徒。后来恩歌拉夏不在人世了，我们真不知道之后念珠会是什么情况
QuestItem/QI55_CAPTION: 念珠绳结
QuestItem/QI55_DESCRIPTION: 古代修士身亡后，他们的法衣做成了绳结
QuestItem/QI55_LORE: 她的名字是恩歌拉夏，她能做出全古斯托迪亚最华美的念珠串。教区著名的祭司与主教们常常光顾她的工坊，甚至神书圣座埃斯科利巴本人都从她那里订货。恩歌拉夏的手艺十分精湛，做的念珠串可谓精美绝伦，完美无瑕。坊间传言，只有她做的念珠才会得到神灵的赐福，用她的念珠吟诵祷文神灵才会听到，除此之外，用其余的念珠皆是罪过。因此，神母教会禁止人们使用其他念珠，之后其他所谓的违法念珠都被查抄焚毁。持有违法念珠的人会遭受惩罚，甚至会被判为异教徒。后来恩歌拉夏不在人世了，我们真不知道之后念珠会是什么情况
QuestItem/QI56_CAPTION: 念珠绳结
QuestItem/QI56_DESCRIPTION: 古代修士身亡后，他们的法衣做成了绳结
QuestItem/QI56_LORE: 她的名字是恩歌拉夏，她能做出全古斯托迪亚最华美的念珠串。教区著名的祭司与主教们常常光顾她的工坊，甚至神书圣座埃斯科利巴本人都从她那里订货。恩歌拉夏的手艺十分精湛，做的念珠串可谓精美绝伦，完美无瑕。坊间传言，只有她做的念珠才会得到神灵的赐福，用她的念珠吟诵祷文神灵才会听到，除此之外，用其余的念珠皆是罪过。因此，神母教会禁止人们使用其他念珠，之后其他所谓的违法念珠都被查抄焚毁。持有违法念珠的人会遭受惩罚，甚至会被判为异教徒。后来恩歌拉夏不在人世了，我们真不知道之后念珠会是什么情况
QuestItem/QI57_CAPTION: 烈油金管
QuestItem/QI57_DESCRIPTION: 饰有黄金的管子，上面刻着一行字：「救赎之油非冷金无以承载」
QuestItem/QI57_LORE: 第一：村里有个妙龄女子名叫奥莉娅，此人面容俊俏，虔心诚挚，如同孩童一般，雕刻家们一般都找她来当模特进行雕刻。她的面庞十分容易辨认，于是人们逐渐将她当做天神下凡，后来甚至在游行时用她来取代圣像。人们这种做法十分狂热，她受不了被人们当成是神明，于是用热油烧毁了神赐的俊俏面庞，出家去了修道院
QuestItem/QI58_CAPTION: 长兄会密室钥匙
QuestItem/QI58_DESCRIPTION: 由兄弟会中的长兄会看管的密钥，但最终还是丢失了，这间密室永远没法打开了
QuestItem/QI58_LORE: …我听到了他的恸哭。他本来不能说话，但是看到了元初奇迹之后就能发声了。他身受折磨，一心寻求接受制裁，于是惩罚从天而降。我听到了他的恸哭。即便是圣父不再与我们同在，即便圣地之中只有他的大小画像。我听到了他的恸哭。是奇迹让我得以听闻，听闻长兄会与圣会卫士的制裁，而圣父的沉默便是他们所要保守的秘密。我听到了他的恸哭，却不想再度听闻。我会用你的恸哭来掩盖他的恸哭，这便是我的忏悔…
QuestItem/QI59_CAPTION: 中空金管
QuestItem/QI59_DESCRIPTION: 饰有黄金的管子，上面刻着一行字：「救赎之油非冷金无以承载」
QuestItem/QI59_LORE: 第一：村里有个妙龄女子名叫奥莉娅，此人面容俊俏，虔心诚挚，如同孩童一般，雕刻家们一般都找她来当模特进行雕刻。她的面庞十分容易辨认，于是人们逐渐将她当做天神下凡，后来甚至在游行时用她来取代圣像。人们这种做法十分狂热，她受不了被人们当成是神明，于是用热油烧毁了神赐的俊俏面庞，出家去了修道院
QuestItem/QI60_CAPTION: 俄瑞斯忒斯的残损面罩
QuestItem/QI60_DESCRIPTION: 梦幻世界中一位死去的副主教手中所持的圣物
QuestItem/QI60_LORE: 『俄瑞斯忒斯忏悔录』@@我的力量正在衰弱。我恐怕力不从心，要辜负煌极天尊交付与我的神圣使命了。其他人都不明白：如果答案如此轻而易得，我就不必以身犯险，置身于此地了。我的生命有限，不足以解开这梦幻王国的奥秘。我将满怀对这片土地的无知与骄傲步入坟墓。@@当我得知这块面罩将伴我左右时，我真是无比欣慰。我真是百无一用，白白研究了这么久，这回可好，这面罩可以免于我这样的俗人的亵渎了
QuestItem/QI61_CAPTION: 多佛斯的光亮面罩
QuestItem/QI61_DESCRIPTION: 雪地孤塔中一位死去的副主教手中所持的圣物
QuestItem/QI61_LORE: 『多佛斯忏悔录·第一』@@他们不明白，神恩并不在故纸堆和黑暗的梦境之中。只有纯洁之中才有神恩，日常所见所触皆可成为神恩。我必须从光洁之中体悟真美，从曲面之中还原真相。我必须体会金匠的手艺，是奇迹操控他们的双手，按照奇迹的尊荣制造出此等精品。而在冰冷的房间中，它们终将与我再无瓜葛 
QuestItem/QI62_CAPTION: 克来辛忒的雕纹面罩
QuestItem/QI62_DESCRIPTION: 尘封的图书馆中一位死去的副主教手中所持的圣物
QuestItem/QI62_LORE: 克来辛忒忏悔录』@@@@我曾视其为父亲，但无奈记忆已被时间夺去。他与村民同流合污，盲目迷信地在神母圣坛寻找不可能存在的东西。多佛斯背弃了煌极天尊，与一众仆从躲到了寒冷山峰上，他自称是在反省，实际上是在掩饰自己的懒惰与不诚。如今能在圣厅有一席之地的只有我一人。虽然书架上的禁书浩如烟海，但我誓要读遍这些宗卷。
QuestItem/QI63_CAPTION: 干燥丁香
QuestItem/QI63_DESCRIPTION: 遥远异域来的稀有香料。此地的石路上不见贸易车队已经有许多时日了，这些东西可谓愈发珍贵。从前的时候这些东西可以做成膏药或药油，可以说具有极高的价值
QuestItem/QI63_LORE: 如今传言已变成现实：疾病已在阿尔贝罗悄然蔓延开来。一天有一个年轻人满怀忧虑地来到我们的教会，想知道自己究竟犯了什么错，要接受如此严重的责罚，自此之后，奇迹之罚便降临阿尔贝罗
QuestItem/QI64_CAPTION: 熏黑蒜头
QuestItem/QI64_DESCRIPTION: 覆满黑灰的蒜头。这种蒜头是焦土之上生长的第一茬果实，找到这种蒜头预示着能走大运。拿它当作药物来使用时可以缓解各种疼痛，但是很少有人敢于尝试
QuestItem/QI64_LORE: 「当奇迹未明确下旨，而庸医俗人对此置若罔闻之时，我们又能怎么办呢？向奇迹祈祷以求原谅？若想祷文上达天听，我们又要作出怎样的牺牲呢？那个年轻人得到了奇迹的怜悯，与他一道之人也都得到了奇迹的怜悯」
QuestItem/QI65_CAPTION: 百里香束
QuestItem/QI65_DESCRIPTION: 一束香草，从前在青铜界域的崖壁上到处都是。如今这种香草十分稀缺，变得弥足珍贵，对于那些看到它们医药效果的人来说，这种植物尤为珍贵
QuestItem/QI65_LORE: 不久，人们就都赶了过来，他们都患了未知的疑难杂症。一家老小无论老人、年轻人还是婴儿，都赶了过来。圣会的兄弟们应对不过来，我们的护理也起不到什么作用，使用油膏和念诵祷文作用也微乎其微。我们已经迷失了，迷失在黑暗与未知当中
QuestItem/QI66_CAPTION: 亚麻布
QuestItem/QI66_DESCRIPTION: @一块没用的布，有时似乎会轻轻震动，发出奇妙的声响。苦难有时会在这种平凡的物件上留下印记，这让人难以透过它腐朽的外表发现其被掩盖住的神奇
QuestItem/QI66_LORE: 「他诚挚至极，几乎没有注意到有人坐在了他的身旁。有人轻轻地将一块白布敷在他的额前，这块布轻柔至极，像纸一样通透，他虔诚狂热，额头上的汗水也被白布吸走，这使他倍感安逸，不禁合眼而眠。白布被浸湿后，修女将其呈予神母，说道：『这就算是他的忏悔了』」
QuestItem/QI67_CAPTION: 断手
QuestItem/QI67_DESCRIPTION: 一只断掉的手，紧握着一个破损的铃铛，有时会略微抽搐。苦难有时会在这种平凡的物件上留下印记，这让人难以透过它腐朽的外表发现其被掩盖住的神奇
QuestItem/QI67_LORE: 「…他们听到天崩地裂的声音时，便意识到情况不妙。于是他们深入洞中寻找圣主，在洞中，大团的尘雾让他们看不清前路，虽然他们呼喊圣主的尊名，但并没有得到回应。时间一天天过去了，尘雾也随之散去，他们得以目睹大地的崩坏，但是当他们无助地哭泣时，突然听到了远出传来了一阵声响。那是落在岩石间的铃声。他们跟着声音走，直到找到了圣主破碎而腐烂的尸体。然而，他的手却神秘地完好无损，手指上还绑着一个小铃铛。」
QuestItem/QI68_CAPTION: 泪浴干花
QuestItem/QI68_DESCRIPTION: 橄榄树的花瓣，已经被冰霜冻成了晶体。真正的痛苦之泪使得花瓣得以保持冰冷，不至于完全凋零。它们可以说是绝佳的贡品，但是在献祭给圣墓之前，便已经遗失在了冰雪之中
QuestItem/QI68_LORE: 这并不是一段愉快的回忆。恩歌拉夏跟你我一样，都是出生在阿尔贝罗。但她又与我们不一样，因为每天采摘完橄榄后，我们都离去了，而她却独自在山上呆着。有人反映说看见她在哭泣，因此我们觉得她是在橄榄树林中独自悲伤。后来旱灾来袭，许多其他的作物都干死了，而出人意料的是，山上的橄榄树却依然存活，依然果实累累。于是就有人说橄榄树是由女孩的眼泪浇灌的。一天早上，我们发现这个女孩靠在橄榄树下死了，她是否是心悲而亡我们不得而知。我们将她葬在橄榄树林旁的一个小山洞里，她就是在这里天天流泪的。次日，所有的橄榄树全都枯萎了
QuestItem/QI69_CAPTION: 祭司的钥匙
QuestItem/QI69_DESCRIPTION: 一把简易的小钥匙。当犯人的生命能够保全时，创世主会亲临他们面前，带给他们食物
QuestItem/QI69_LORE: 「…他搬起旁边的一块大石头就朝自己的腿砸去，直到把骨头都砸折了，如此一来他挣脱了囚链。他告诉我们，他爬着逃了出去，脚下的沙子吸干了留下的血迹，这样抓他的人就不知道他从哪边逃走了。从此之后，他每天晚上都要流着泪对着床边的沙堆祈祷一番」
QuestItem/QI70_CAPTION: 书记员的钥匙
QuestItem/QI70_DESCRIPTION: 保存完好的铁钥匙。每一场审讯时书记员都在场，记录着被审之人的口供
QuestItem/QI70_LORE: 圣父啊，请帮我摆脱束缚我四肢的枷锁…圣父啊，他们要取我性命…向他们供认并无裨益，他们就是想屈打成招…圣父啊…他们要的根本不是真相…他们就是想听我口中说出对您的不敬之词，圣父啊，愿奇迹能拯救我…
QuestItem/QI71_CAPTION: 裁判官的钥匙
QuestItem/QI71_DESCRIPTION: 钢铁铸成的圣师钥匙。大裁判官的剑炽烈无比，即便是透过最冰冷的墙，大家也都知道此人驾临了
QuestItem/QI71_LORE: 在众人的注视下，露济薇娜虚弱地从椅子上站起来，对裁判官说：「拜圣主所赐，我看到的幻影都是真实不虚的，除此之外，还能有什么原因呢？我的罪过无非是忽视了这一恩典罢了」@@坐在中央席的裁判官答道：「那不如用你的所谓恩典来为教会增光添彩吧？」说罢他从座上起身，降下一个华美的银匣，说道：「愿你获得神恩的双目长存于此，就在这无窗圣堂之中。这便是神母教会的判决」
QuestItem/QI72_CAPTION: 高峰钥匙
QuestItem/QI72_DESCRIPTION: 通往遥远的女修道院的钥匙
QuestItem/QI72_LORE: 这把钥匙银光闪闪，但不知是何等材质。我希望这是世上最纯洁的钥匙。当它自身与其所负担的任务一样完美之时，可以将它带来给我。战车将入库封存，我若不进行呼唤，你们的战马将永远休息。这便是我的命令，这便是圣王的命令
QuestItem/QI75_CAPTION: 璇玑圣杯
QuestItem/QI75_DESCRIPTION: 生锈的铁杯，外表简单朴素。杯壁装饰有暗银，杯底有几行螺旋排列的诗文，讲的是异教的禽兽与禁果的故事
QuestItem/QI75_LORE: —可是圣父啊，神母所禁止的那些绘画和偶像究竟在何处？如果它们是由奇迹激发而创，就不应该被毁弃，这可是罪孽深重啊。—孩子，我也说不清楚，但是我敢保证，秘密画廊里的这些藏品肯定多如牛毛
QuestItem/QI76_CAPTION: 璇玑圣杯
QuestItem/QI76_DESCRIPTION: 生锈的铁杯，外表简单朴素。杯壁装饰有暗银，杯底有几行螺旋排列的诗文，讲的是异教的禽兽与禁果的故事@这个杯子里面装着一点孽刃获取来的赎罪之泪
QuestItem/QI76_LORE: —可是圣父啊，神母所禁止的那些绘画和偶像究竟在何处？如果它们是由奇迹激发而创，就不应该被毁弃，这可是罪孽深重啊。—孩子，我也说不清楚，但是我敢保证，秘密画廊里的这些藏品肯定多如牛毛
QuestItem/QI77_CAPTION: 璇玑圣杯
QuestItem/QI77_DESCRIPTION: 生锈的铁杯，外表简单朴素。杯壁装饰有暗银，杯底有几行螺旋排列的诗文，讲的是异教的禽兽与禁果的故事@这个杯子里面装着孽刃获取来的赎罪之泪
QuestItem/QI77_LORE: —可是圣父啊，神母所禁止的那些绘画和偶像究竟在何处？如果它们是由奇迹激发而创，就不应该被毁弃，这可是罪孽深重啊。—孩子，我也说不清楚，但是我敢保证，秘密画廊里的这些藏品肯定多如牛毛
QuestItem/QI78_CAPTION: 赎罪之泪
QuestItem/QI79_CAPTION: 猩红石南
QuestItem/QI79_DESCRIPTION: 迪欧加卡斯的小礼物，被钉在你的剑格下面扭曲者的像上。这些荆棘是奇迹用罪恶养成，携带者的罪过都由这荆棘来背负 
QuestItem/QI79_LORE: 迪欧加卡斯的辞别书@@@@「阿伯特兄弟，你知道的，我还是个小孩子的时候就在这座修道院当书记员。我写了许多关于我们的修道院、圣徒还有痛极奇迹的事情。我必须告诉你，虽然我仍要继续写下去，我已下定决心离去。在高墙之内，我无法见证奇迹的真正杰作。我有幸能亲眼见证你神圣的作品，无论晴天还是下雨，纵使赤脚踏上热沙，我都要向世人传颂奇迹」
QuestItem/QI80_CAPTION: 血编藤蔓
QuestItem/QI80_DESCRIPTION: 迪欧加卡斯的小礼物，被钉在你的剑格下面扭曲者的像上。这些荆棘是奇迹用罪恶养成，携带者的罪过都由这荆棘来背负 
QuestItem/QI80_LORE: 迪欧加卡斯的辞别书@@@@「阿伯特兄弟，你知道的，我还是个小孩子的时候就在这座修道院当书记员。我写了许多关于我们的修道院、圣徒还有痛极奇迹的事情。我必须告诉你，虽然我仍要继续写下去，我已下定决心离去。在高墙之内，我无法见证奇迹的真正杰作。我有幸能亲眼见证你神圣的作品，无论晴天还是下雨，纵使赤脚踏上热沙，我都要向世人传颂奇迹」
QuestItem/QI81_CAPTION: 古斯托迪亚的罪孽
QuestItem/QI81_DESCRIPTION: 迪欧加卡斯的小礼物，被钉在你的剑格下面扭曲者的像上。这些荆棘是奇迹用罪恶养成，携带者的罪过都由这荆棘来背负 
QuestItem/QI81_LORE: 迪欧加卡斯的辞别书@@@@「阿伯特兄弟，你知道的，我还是个小孩子的时候就在这座修道院当书记员。我写了许多关于我们的修道院、圣徒还有痛极奇迹的事情。我必须告诉你，虽然我仍要继续写下去，我已下定决心离去。在高墙之内，我无法见证奇迹的真正杰作。我有幸能亲眼见证你神圣的作品，无论晴天还是下雨，纵使赤脚踏上热沙，我都要向世人传颂奇迹」
Relic/RE01_CAPTION: 恒沙血
Relic/RE01_DESCRIPTION: 这些被封存的血液颇为神奇，随着持有者走的路越来越多，血液会出现新的分层，而在此之前无人可以看见。@@奇迹可谓高深莫测，持有者脚下会出现血液漩涡，谁也不知道这些血出自何处。
Relic/RE01_LORE: 「将此包注满沙土，再将伤口溢出的鲜血注入其中，如此一来便会赤红如血。有了此物，尔等便可以向信众示明道路，走出这干涸之地。尔等速速远离，我要念诵祷文，圣父眠于此地，而我将化作沙土，拥抱圣父…」
Relic/RE02_CAPTION: 慈主的不朽手
Relic/RE02_DESCRIPTION: 这件圣物保存完好，有灵虚肌腱联结，必要时它会轻轻摇动。持有者附近有异常时，手中的响铃就会发出警告。@毕竟好奇心一上来，什么岔子都有可能出
Relic/RE02_LORE: 「…他们听到天崩地裂的声音时，便意识到情况不妙。于是他们深入洞中寻找圣主，在洞中，大团的尘雾让他们看不清前路，虽然他们呼喊圣主的尊名，但并没有得到回应。时间一天天过去了，尘雾也随之散去，他们得以目睹大地的崩坏，但是当他们无助地哭泣时，突然听到了远出传来了一阵声响。那是落在岩石间的铃声。他们跟着声音走，直到找到了圣主破碎而腐烂的尸体。然而，他的手却神秘地完好无损，手指上还绑着一个小铃铛。」
Relic/RE03_CAPTION: 破土圣指
Relic/RE03_DESCRIPTION: 途至师是教团的创立者，会给信徒心灵上的慰藉，而这便是他纯净的遗物。他在古斯托迪亚四处云游探秘，绝不会停下脚步。携带此圣物者会获得他的坚韧意志，穿越沼泽如履平地 
Relic/RE03_LORE: 「…殉道士尼坎诺惨遭酷刑，而他的信徒们则眼睁睁地看着，不敢作声，行刑之后，他又被活埋，而这枚指甲则是他在活埋之前扯下来的。尘封之下，这枚指甲不太容易看到，其他信徒都四散离去，而一位信徒却在悼念这一惨案时拾取了这枚指甲，他可谓是最后的一名信徒，而他的名字则无人能知。他从自己的衣服上扯下一块布将指甲包了起来，是夜，他来到了教堂，而正是这所教堂的圣会将尼坎诺判作异端，他将指甲藏入了教堂的暗砖之中，然后深藏身与名…」
Relic/RE04_CAPTION: 幻罪布巾
Relic/RE04_DESCRIPTION: 这条泛黄的布巾可以鉴证信徒诚挚的忏悔。若是有灵魂惨遭折磨，它便会震颤抖动，让无言的亡者也能向世人进行倾诉
Relic/RE04_LORE: 「他诚挚至极，几乎没有注意到有人坐在了他的身旁。有人轻轻地将一块白布敷在他的额前，这块布轻柔至极，像纸一样通透，他虔诚狂热，额头上的汗水也被白布吸走，这使他倍感安逸，不禁合眼而眠。白布被浸湿后，修女将其呈予神母，说道：『这就算是他的忏悔了』」
Relic/RE05_CAPTION: 金丝布
Relic/RE05_DESCRIPTION: 这块纤薄的锦布可谓不朽神物，而织造它的纺机只有在月圆之夜才会转动。元初长子将它作为礼物赐给忏悔者，如此一来忏悔者便可前往无底深渊 
Relic/RE05_LORE: 我告诉神母会的成员我画完了，于是他们进来拿走了画作。他们一声不响，包起画就走。我倾尽毕生心血为神母会作画，让神灵能够跃然纸上，但是最后一幅画…神母会似乎不想让任何人看到它，就算是他们将其展出，连我这画家也不能看上一眼。这便是他们委托给我的最后一份差事
